,la,atlanta,nashville
2000-01-31,231209.0,153650.0,144859.0
2000-02-29,232014.0,154161.0,145116.0
2000-03-31,233247.0,154687.0,145353.0
2000-04-30,235592.0,155751.0,145862.0
2000-05-31,238105.0,156792.0,146318.0
2000-06-30,240479.0,157820.0,146642.0
2000-07-31,242910.0,158790.0,147026.0
2000-08-31,245461.0,159843.0,147346.0
2000-09-30,247891.0,160910.0,147806.0
2000-10-31,250113.0,162056.0,148235.0
2000-11-30,252170.0,163068.0,148669.0
2000-12-31,254337.0,164173.0,149098.0
2001-01-31,256001.0,165171.0,149463.0
2001-02-28,257805.0,166157.0,149897.0
2001-03-31,259727.0,166999.0,150348.0
2001-04-30,262406.0,167809.0,150765.0
2001-05-31,265034.0,168646.0,151158.0
2001-06-30,267457.0,169428.0,151536.0
2001-07-31,269935.0,170193.0,151887.0
2001-08-31,272519.0,170970.0,152169.0
2001-09-30,275198.0,171756.0,152430.0
2001-10-31,277854.0,172521.0,152738.0
2001-11-30,280168.0,173224.0,153016.0
2001-12-31,282603.0,173923.0,153239.0
2002-01-31,284611.0,174587.0,153375.0
2002-02-28,286977.0,175288.0,153673.0
2002-03-31,289795.0,175884.0,153952.0
2002-04-30,293379.0,176507.0,154283.0
2002-05-31,297456.0,177014.0,154546.0
2002-06-30,301615.0,177524.0,154927.0
2002-07-31,306850.0,177927.0,155281.0
2002-08-31,312302.0,178351.0,155585.0
2002-09-30,317852.0,178782.0,155777.0
2002-10-31,322809.0,179258.0,156093.0
2002-11-30,327730.0,179668.0,156375.0
2002-12-31,332593.0,180005.0,156699.0
2003-01-31,336688.0,180351.0,156873.0
2003-02-28,340469.0,180680.0,157177.0
2003-03-31,344653.0,181081.0,157321.0
2003-04-30,349330.0,181415.0,157462.0
2003-05-31,355159.0,181738.0,157698.0
2003-06-30,359770.0,182031.0,158141.0
2003-07-31,365789.0,182298.0,158628.0
2003-08-31,372077.0,182665.0,158989.0
2003-09-30,379534.0,183016.0,159302.0
2003-10-31,385684.0,183361.0,159736.0
2003-11-30,391663.0,183633.0,160113.0
2003-12-31,397635.0,183979.0,160463.0
2004-01-31,404664.0,184240.0,160678.0
2004-02-29,412369.0,184556.0,161006.0
2004-03-31,421099.0,184850.0,161437.0
2004-04-30,431142.0,185362.0,162079.0
2004-05-31,443458.0,185816.0,162707.0
2004-06-30,455585.0,186212.0,163333.0
2004-07-31,466335.0,186557.0,163902.0
2004-08-31,475207.0,187050.0,164475.0
2004-09-30,484140.0,187574.0,165040.0
2004-10-31,492927.0,188117.0,165652.0
2004-11-30,498727.0,188515.0,166312.0
2004-12-31,504693.0,188936.0,166876.0
2005-01-31,510011.0,189408.0,167432.0
2005-02-28,517414.0,189960.0,168114.0
2005-03-31,525185.0,190479.0,168949.0
2005-04-30,533172.0,191059.0,169818.0
2005-05-31,540857.0,191757.0,170757.0
2005-06-30,548074.0,192547.0,171967.0
2005-07-31,556569.0,193203.0,173448.0
2005-08-31,565617.0,193822.0,174821.0
2005-09-30,574912.0,194432.0,176205.0
2005-10-31,584354.0,195069.0,177324.0
2005-11-30,590735.0,195680.0,178314.0
2005-12-31,597333.0,196289.0,179039.0
2006-01-31,602918.0,196914.0,179551.0
2006-02-28,608375.0,197495.0,180218.0
2006-03-31,613340.0,197967.0,181080.0
2006-04-30,617490.0,198464.0,182157.0
2006-05-31,622715.0,198978.0,183348.0
2006-06-30,626655.0,199621.0,184741.0
2006-07-31,627901.0,200343.0,186206.0
2006-08-31,629333.0,200998.0,187619.0
2006-09-30,627563.0,201491.0,188705.0
2006-10-31,627715.0,201813.0,189757.0
2006-11-30,626491.0,202018.0,190516.0
2006-12-31,626536.0,202358.0,191280.0
2007-01-31,626695.0,202614.0,191665.0
2007-02-28,626393.0,202945.0,192083.0
2007-03-31,625299.0,203303.0,192621.0
2007-04-30,623370.0,203748.0,193389.0
2007-05-31,619899.0,204173.0,194434.0
2007-06-30,616694.0,204413.0,195440.0
2007-07-31,610738.0,204567.0,196339.0
2007-08-31,604287.0,204497.0,196834.0
2007-09-30,596377.0,204122.0,196826.0
2007-10-31,588889.0,203519.0,196556.0
2007-11-30,583239.0,202611.0,195916.0
2007-12-31,576144.0,201833.0,195381.0
2008-01-31,569801.0,200471.0,194743.0
2008-02-29,560243.0,199078.0,194554.0
2008-03-31,549801.0,197388.0,194539.0
2008-04-30,535766.0,196313.0,194953.0
2008-05-31,521401.0,195352.0,195017.0
2008-06-30,508155.0,194363.0,194770.0
2008-07-31,496133.0,193062.0,193934.0
2008-08-31,485514.0,191547.0,193151.0
2008-09-30,477984.0,189932.0,192302.0
2008-10-31,470499.0,188034.0,191808.0
2008-11-30,462419.0,185446.0,191006.0
2008-12-31,451669.0,182168.0,190006.0
2009-01-31,443998.0,178892.0,189241.0
2009-02-28,439833.0,176069.0,188736.0
2009-03-31,436856.0,173716.0,188189.0
2009-04-30,433825.0,171356.0,187072.0
2009-05-31,430811.0,169148.0,186032.0
2009-06-30,427133.0,167327.0,185181.0
2009-07-31,424598.0,166061.0,184297.0
2009-08-31,422932.0,165068.0,183601.0
2009-09-30,423035.0,163969.0,183146.0
2009-10-31,423706.0,162725.0,182975.0
2009-11-30,426602.0,161640.0,182702.0
2009-12-31,431405.0,160957.0,182361.0
2010-01-31,433343.0,160132.0,182291.0
2010-02-28,432828.0,159426.0,182266.0
2010-03-31,433094.0,158828.0,182290.0
2010-04-30,436045.0,158890.0,182246.0
2010-05-31,439791.0,158922.0,182049.0
2010-06-30,439032.0,158667.0,181620.0
2010-07-31,436444.0,157224.0,181026.0
2010-08-31,431736.0,155319.0,180419.0
2010-09-30,427616.0,152795.0,179782.0
2010-10-31,423513.0,150810.0,178880.0
2010-11-30,419790.0,148740.0,178148.0
2010-12-31,418465.0,146972.0,177345.0
2011-01-31,417751.0,145084.0,176397.0
2011-02-28,418151.0,143655.0,175416.0
2011-03-31,416389.0,142112.0,174669.0
2011-04-30,414617.0,140419.0,174400.0
2011-05-31,409698.0,138134.0,174115.0
2011-06-30,408493.0,136066.0,173706.0
2011-07-31,407301.0,134464.0,173056.0
2011-08-31,405318.0,133727.0,172341.0
2011-09-30,400909.0,133489.0,171570.0
2011-10-31,396805.0,133393.0,170976.0
2011-11-30,396357.0,133087.0,170611.0
2011-12-31,396582.0,131981.0,170540.0
2012-01-31,395962.0,131245.0,170545.0
2012-02-29,395223.0,130616.0,170531.0
2012-03-31,394546.0,131349.0,170710.0
2012-04-30,395060.0,132076.0,171016.0
2012-05-31,396142.0,133074.0,171335.0
2012-06-30,397817.0,134048.0,171391.0
2012-07-31,400413.0,135077.0,171583.0
2012-08-31,402454.0,135610.0,171955.0
2012-09-30,404850.0,135487.0,172683.0
2012-10-31,408520.0,135586.0,173288.0
2012-11-30,412884.0,136403.0,173797.0
2012-12-31,419331.0,137543.0,174322.0
2013-01-31,425666.0,138942.0,175008.0
2013-02-28,434880.0,140507.0,175829.0
2013-03-31,443909.0,142390.0,176596.0
2013-04-30,453765.0,144118.0,177402.0
2013-05-31,461876.0,146019.0,178155.0
2013-06-30,470340.0,147982.0,179024.0
2013-07-31,477717.0,149978.0,179892.0
2013-08-31,485479.0,152168.0,180835.0
2013-09-30,492002.0,154451.0,181703.0
2013-10-31,497186.0,156731.0,182648.0
2013-11-30,502922.0,158674.0,183742.0
2013-12-31,507980.0,160665.0,184737.0
2014-01-31,513664.0,162313.0,185837.0
2014-02-28,516141.0,163796.0,186640.0
2014-03-31,517116.0,164929.0,187521.0
2014-04-30,516404.0,166080.0,188186.0
2014-05-31,516429.0,167134.0,189084.0
2014-06-30,516570.0,168027.0,189971.0
2014-07-31,517416.0,169013.0,190831.0
2014-08-31,515976.0,169772.0,191631.0
2014-09-30,515517.0,170542.0,192442.0
2014-10-31,516003.0,171252.0,193532.0
2014-11-30,519189.0,172110.0,194692.0
2014-12-31,522969.0,173046.0,196043.0
2015-01-31,527562.0,173953.0,197151.0
2015-02-28,532500.0,174774.0,198175.0
2015-03-31,536363.0,175435.0,199195.0
2015-04-30,537774.0,176294.0,200381.0
2015-05-31,539685.0,177433.0,201941.0
2015-06-30,541648.0,178671.0,203296.0
2015-07-31,542842.0,179495.0,204710.0
2015-08-31,544255.0,180260.0,205956.0
2015-09-30,546272.0,181070.0,207707.0
2015-10-31,550582.0,181963.0,209475.0
2015-11-30,553946.0,182914.0,211670.0
2015-12-31,559765.0,183896.0,213461.0
2016-01-31,563677.0,185094.0,215414.0
2016-02-29,567950.0,186251.0,217399.0
2016-03-31,569734.0,187621.0,219533.0
2016-04-30,572962.0,189049.0,221399.0
2016-05-31,576093.0,190305.0,222849.0
2016-06-30,578998.0,191131.0,224152.0
2016-07-31,579748.0,191694.0,225948.0
2016-08-31,581376.0,192216.0,227776.0
2016-09-30,583635.0,192734.0,229697.0
2016-10-31,588193.0,193714.0,231757.0
2016-11-30,591924.0,194935.0,233808.0
2016-12-31,594753.0,196652.0,236222.0
2017-01-31,599207.0,197889.0,238187.0
2017-02-28,602267.0,199236.0,240036.0
2017-03-31,605625.0,200277.0,241921.0
2017-04-30,607194.0,201493.0,244172.0
2017-05-31,610375.0,202711.0,246415.0
2017-06-30,614144.0,204092.0,248520.0
2017-07-31,615699.0,205538.0,250439.0
2017-08-31,617400.0,206702.0,252468.0
2017-09-30,619601.0,208285.0,254505.0
2017-10-31,624373.0,209813.0,256313.0
2017-11-30,630304.0,211630.0,258362.0
2017-12-31,635487.0,213545.0,260444.0
2018-01-31,640399.0,215631.0,262834.0
2018-02-28,645573.0,217658.0,265165.0
2018-03-31,650599.0,219099.0,267076.0
2018-04-30,655148.0,220481.0,268510.0
2018-05-31,657699.0,221811.0,269498.0
2018-06-30,660565.0,223249.0,270598.0
2018-07-31,660997.0,224759.0,271763.0
2018-08-31,661875.0,226283.0,273101.0
2018-09-30,662325.0,227979.0,274350.0
2018-10-31,665582.0,229717.0,275734.0
2018-11-30,667436.0,231354.0,276765.0
2018-12-31,666925.0,232856.0,277549.0
2019-01-31,665764.0,233980.0,278445.0
2019-02-28,663614.0,235076.0,279493.0
2019-03-31,662272.0,236229.0,280615.0
2019-04-30,661841.0,237466.0,281243.0
2019-05-31,662809.0,238476.0,281942.0
2019-06-30,663827.0,238880.0,282743.0
2019-07-31,662891.0,239369.0,283548.0
2019-08-31,663616.0,240078.0,284038.0
2019-09-30,666330.0,241054.0,284502.0
2019-10-31,670631.0,241852.0,285323.0
2019-11-30,672643.0,242615.0,286415.0
2019-12-31,674454.0,243703.0,287448.0
2020-01-31,677430.0,244870.0,288756.0
2020-02-29,683527.0,246356.0,290334.0
2020-03-31,690489.0,247422.0,292315.0
2020-04-30,695613.0,248483.0,294075.0
2020-05-31,693703.0,249016.0,296109.0
2020-06-30,690803.0,249876.0,297902.0
2020-07-31,692544.0,251242.0,299446.0
2020-08-31,701716.0,253365.0,300767.0
2020-09-30,712332.0,256070.0,302454.0
2020-10-31,722297.0,259039.0,304828.0
2020-11-30,729787.0,262157.0,307527.0
2020-12-31,736123.0,265500.0,310810.0
2021-01-31,741232.0,268774.0,314106.0
2021-02-28,748830.0,272583.0,317874.0
2021-03-31,756443.0,276470.0,321818.0
2021-04-30,767598.0,281072.0,326308.0
2021-05-31,783132.0,286399.0,331843.0
2021-06-30,803315.0,293002.0,339051.0
2021-07-31,824025.0,300390.0,347632.0
2021-08-31,837548.0,307832.0,356840.0
2021-09-30,846526.0,315033.0,365573.0
